Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Lifetime Fitness Bistro,78749,06/30/2015,97,"7101 S MOPAC EXPY
AUSTIN, TX 78749
(30.2164229149346, -97.8399526032608)",10068028,Routine Inspection
Marisco Grill,78753,06/30/2015,73,"9515 N LAMAR BLVD
AUSTIN, TX 78753
(30.3644339787384, -97.6946087350561)",11249732,Routine Inspection
Little Caesars Pizza,78750,06/30/2015,94,"13770 N US 183 HWY
AUSTIN, TX 78750
(30.4616152797534, -97.7953810298453)",10532387,Routine Inspection
Sonic Drive In,78729,06/30/2015,86,"6816 MC NEIL DR
AUSTIN, TX 78729
(30.4382385378633, -97.7588376628222)",2801290,Routine Inspection
Hyde Park Bar and Grill,78751,06/30/2015,88,"4206 DUVAL ST
AUSTIN, TX 78751
(30.3042026059298, -97.7266961902891)",2800046,Routine Inspection
Signature #2,78704,06/29/2015,87,"608 S LAMAR BLVD
AUSTIN, TX 78704
(30.2592025354486, -97.7592687190396)",10962232,Routine Inspection
Whataburger #321,78745,06/29/2015,100,"801 E WILLIAM CANNON DR
AUSTIN, TX 78745
(30.1906165906937, -97.7722984751779)",2800015,Routine Inspection
Palm Door,78701,06/29/2015,100,"401 SABINE ST
AUSTIN, TX 78701
(30.2646644125096, -97.736492694377)",11005140,Routine Inspection
Galaxy Highland 10,78752,06/29/2015,97,"6700 MIDDLE FISKVILLE RD
AUSTIN, TX 78752
(30.3285696061386, -97.7073650090862)",2802612,Routine Inspection
Verts,78705,06/29/2015,100,"2530 GUADALUPE ST
AUSTIN, TX 78705
(30.2899034154975, -97.7415756447634)",10618521,Routine Inspection
Blue Dahlia Bistro,78702,06/29/2015,82,"1115 E 11TH ST
AUSTIN, TX 78702
(30.2688402146276, -97.7287437542767)",2802522,Routine Inspection
El Nuevo Mexico Restaurant,78757,06/29/2015,84,"911 W ANDERSON LN
AUSTIN, TX 78757
(30.3480044708166, -97.7147979677337)",10206751,Routine Inspection
International House of Pancakes,78751,06/29/2015,92,"901 E KOENIG LN
AUSTIN, TX 78751
(30.3206239743089, -97.7097917236648)",2802877,Routine Inspection
McDonald's,78729,06/29/2015,90,"13749 N US 183 HWY
AUSTIN, TX 78729
(30.4606717047759, -97.7927228769881)",2802094,Routine Inspection
Noble Sandwiches,78756,06/29/2015,90,"4805 BURNET RD
AUSTIN, TX 78756
(30.319036683813, -97.7388779541578)",11109950,Routine Inspection
Souper Salad,78753,06/29/2015,81,"12901 N IH
AUSTIN, TX 78753
(30.4136762945008, -97.6722559231121)",10598822,Routine Inspection
Sushic,78735,06/29/2015,96,"6501 W WILLIAM CANNON DR
AUSTIN, TX 78735
(30.2356474959578, -97.8663876033539)",10943069,Routine Inspection
Henri's,78704,06/29/2015,85,"2026 S LAMAR BLVD
AUSTIN, TX 78704
(30.2491972403506, -97.7684760290323)",10731927,Routine Inspection
Chuy's 183,78759,06/29/2015,75,"11680 RESEARCH BLVD
AUSTIN, TX 78759
(30.4180171461378, -97.747580439706)",10003985,Routine Inspection
Jack in the Box #865,78752,06/29/2015,92,"6419 AIRPORT BLVD
AUSTIN, TX 78752
(30.3293407023321, -97.7154828583506)",10789679,Routine Inspection
Sunrise MiniMart,78758,06/29/2015,91,"11800 METRIC BLVD
AUSTIN, TX 78758
(30.398192745222, -97.7050863565414)",2801407,Routine Inspection
G's Dynamite Deli,78704,06/29/2015,86,"2312 S 1ST ST
AUSTIN, TX 78704
(30.2426351043696, -97.7592961571195)",10604985,Routine Inspection
CJC Snack Bar,78701,06/29/2015,94,"509 W 11TH ST
AUSTIN, TX 78701
(30.2740285996773, -97.746583705207)",2802850,Routine Inspection
Teapioca Lounge,78727,06/29/2015,93,"1700 W PARMER LN
AUSTIN, TX 78727
(30.4128317853672, -97.6889178676596)",10530160,Routine Inspection
Cypress Grill,78749,06/29/2015,85,"4404 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.2236946492329, -97.8409712655142)",2802008,Routine Inspection
Arab Cowboy Hookah Lounge,78705,06/29/2015,97,"901 W 24TH ST
AUSTIN, TX 78705
(30.2879319990598, -97.7469477518179)",10292654,Routine Inspection
Rudy's Country Store and BBQ,78726,06/29/2015,100,"7709 N FM 620 RD
AUSTIN, TX 78726
(30.4107881576269, -97.8495245737949)",2802147,Routine Inspection
Mikado Ryotei,78758,06/29/2015,81,"9033 RESEARCH BLVD
AUSTIN, TX 78758
(30.3734439035692, -97.7247032391162)",10617884,Routine Inspection
Austin Presbyterian Theological Seminary,78705,06/29/2015,88,"100 E 27TH ST
AUSTIN, TX 78705
(30.2925811510874, -97.7377176598913)",10805134,Routine Inspection
CVS Pharmacy #6844,78704,06/29/2015,88,"2301 S CONGRESS AVE
AUSTIN, TX 78704
(30.2394713493671, -97.7520326894792)",2804036,Routine Inspection
"Arlan's Markets, Inc.",78723,06/29/2015,91,"6305 CAMERON RD
AUSTIN, TX 78723
(30.3203042722376, -97.6954184840858)",10884019,Routine Inspection
CVS Pharmacy #6945,78741,06/29/2015,93,"4405 E RIVERSIDE DR
AUSTIN, TX 78741
(30.2329808346292, -97.7237898057679)",2804035,Routine Inspection
Paisano's Cucina Italiana,78717,06/29/2015,90,"11301 LAKELINE BLVD
AUSTIN, TX 78717
(30.4794311448911, -97.7993796956424)",10715058,Routine Inspection
Hunan Lion Restaurant,78704,06/29/2015,88,"4006 S LAMAR BLVD
AUSTIN, TX 78704
(30.237935822223, -97.7931761636455)",10988489,Routine Inspection
Balkan Cafe & Grill,78758,06/29/2015,91,"11800 N LAMAR BLVD
AUSTIN, TX 78758
(30.3883524756088, -97.6840684470167)",11143174,Routine Inspection
Headliners,78701,06/29/2015,83,"221 W 6TH ST
AUSTIN, TX 78701
(30.2683265602309, -97.7447748232285)",2800399,Routine Inspection
"Caffe Medici Austonian,LLC",78704,06/29/2015,86,"200 S CONGRESS AVE
AUSTIN, TX 78704
(30.2606578831716, -97.74594266542)",10550958,Routine Inspection
Capital City Bakery,78702,06/29/2015,90,"2211 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.2553440672349, -97.7199343247142)",11045775,Routine Inspection
Congress Austin,78701,06/29/2015,84,"200 CONGRESS AVE
AUSTIN, TX 78701
(30.2646011349829, -97.7444232076484)",10492670,Routine Inspection
Thundercloud Subs,78705,06/29/2015,89,"3204 GUADALUPE ST
AUSTIN, TX 78705
(30.2997408063184, -97.7404918333548)",2800617,Routine Inspection
Thompson Lane Shell,78742,06/29/2015,91,"609 BASTROP HWY
AUSTIN, TX 78742
(30.2365110413435, -97.6854009963678)",11252735,Routine Inspection
McDonald's  #6196,78745,06/29/2015,89,"500 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.1965500424593, -97.7851124181643)",2801776,Routine Inspection
Spring Food Mart,78729,06/29/2015,84,"13125 POND SPRINGS RD
AUSTIN, TX 78729
(30.443850707212, -97.7758336499691)",10628274,Routine Inspection
Pok-E-Jo's,78758,06/29/2015,89,"2121 W PARMER LN
AUSTIN, TX 78758
(30.4156492668216, -97.6975693977174)",2801171,Routine Inspection
South Austin Center (Sr Lunch),78704,06/29/2015,96,"2508 DURWOOD ST
AUSTIN, TX 78704
(30.2392324313659, -97.7599863864098)",2800257,Routine Inspection
Subway,78705,06/26/2015,100,"2906 DUVAL ST
AUSTIN, TX 78705
(30.2916628239094, -97.7345064987053)",10211742,Routine Inspection
El Mercado North,78757,06/26/2015,89,"7414 BURNET RD
AUSTIN, TX 78757
(30.3502559222735, -97.7351620193274)",2800466,Routine Inspection
Lucky Food Store,78745,06/26/2015,87,"5800 S CONGRESS AVE
AUSTIN, TX 78745
(30.2031478027283, -97.7758588143502)",2803495,Routine Inspection
Wal-Mart #2133-Milk/ Ice Cream,78749,06/26/2015,100,"5017 W US 290 HWY
AUSTIN, TX 78749
(30.2322917643236, -97.8233530180644)",10002963,Routine Inspection
Momoko,78705,06/26/2015,100,"705 W 24TH ST
AUSTIN, TX 78705
(30.2877444876706, -97.7455615033402)",2801552,Routine Inspection
Nasty's Tap & Amusements,78705,06/26/2015,94,"606 MAIDEN LN
AUSTIN, TX 78705
(30.3018965409275, -97.7393776329768)",2800463,Routine Inspection
Manchaca Food Mart,78745,06/26/2015,89,"5304 MANCHACA RD
AUSTIN, TX 78745
(30.2184484677064, -97.7959417684297)",2803931,Routine Inspection
Golden Wok,78753,06/26/2015,80,"500 CANYON RIDGE DR
AUSTIN, TX 78753
(30.4052725280433, -97.6718973772957)",2802503,Routine Inspection
Subway,78727,06/26/2015,100,"3407 W WELLS BRANCH PKWY
AUSTIN, TX 78727
(30.4393837513421, -97.6963581712063)",11004879,Routine Inspection
McDonald's,78727,06/26/2015,76,"13813 BURNET RD
AUSTIN, TX 78727
(30.4392891728328, -97.6977187717959)",2802299,Routine Inspection
Barton Hill Food Mart,78704,06/26/2015,70,"2900 S LAMAR BLVD
AUSTIN, TX 78704
(30.2436785545569, -97.7828630255971)",10235373,Routine Inspection
Verts - Berlin Inspired Kebap,78726,06/26/2015,91,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.4546608628512, -97.8258958233743)",10828829,Routine Inspection
7-Eleven,78701,06/26/2015,90,"411 W MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78701
(30.2812990829572, -97.742158538298)",10401573,Routine Inspection
Delwood  Little League,78723,06/26/2015,97,"5201 BERKMAN DR
AUSTIN, TX 78723
(30.3048463839823, -97.6976541304481)",10296917,Routine Inspection
Dirty Martin's Place,78705,06/26/2015,90,"2808 GUADALUPE ST
AUSTIN, TX 78705
(30.2938223955305, -97.7422767143757)",2800362,Routine Inspection
StarStop 36,78731,06/26/2015,100,"7510 N MOPAC EXPY
AUSTIN, TX 78731
(30.3571816916102, -97.7470647349536)",10880409,Routine Inspection
Express Food Mart #4,78745,06/26/2015,93,"5401 MANCHACA RD
AUSTIN, TX 78745
(30.2171242359413, -97.7958744304694)",2803694,Routine Inspection
Crosswater Yacht Club,78734,06/26/2015,97,"1505 HURST CREEK RD
LAKEWAY, TX 78734
(30.3900168934245, -97.9665670311409)",11001069,Routine Inspection
Prime Mart,78758,06/26/2015,85,"12430 N LAMAR BLVD
AUSTIN, TX 78758
(30.4071986337417, -97.6788203205599)",10003038,Routine Inspection
Dream Bakery,78729,06/26/2015,96,"9422 ANDERSON MILL RD
AUSTIN, TX 78729
(30.4498574757188, -97.7879263150101)",2802826,Routine Inspection
Arlan's Market,78702,06/26/2015,87,"1148 AIRPORT BLVD
AUSTIN, TX 78702
(30.2728891697988, -97.6985992618743)",10880673,Routine Inspection
La Quinta,78701,06/26/2015,90,"300 E 11TH ST
AUSTIN, TX 78701
(30.2721781476285, -97.7384075711282)",2803218,Routine Inspection
"Spec's Wine, Spirits & Finer Foods #64",78748,06/26/2015,91,"9900 S IH
AUSTIN, TX 78748
(30.1572180091149, -97.7932160719068)",10211522,Routine Inspection
Gloria's Restaurant #11,78758,06/26/2015,80,"3309 ESPERANZA XING
AUSTIN, TX 78758
(30.4001937454586, -97.7264540747476)",10359753,Routine Inspection
The Local Pub & Patio,78705,06/26/2015,94,"2610 GUADALUPE ST
AUSTIN, TX 78705
(30.2915481151794, -97.7414733357029)",10436380,Routine Inspection
HEB Foods Store #374 (Bakery/Butcher),78745,06/25/2015,97,"600 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.198061069869, -97.7862741382378)",2800962,Routine Inspection
Whisler's,78702,06/25/2015,87,"1816 E 6TH ST
AUSTIN, TX 78702
(30.2620358475103, -97.7225910175922)",10928995,Routine Inspection
Badlands,78702,06/25/2015,93,"1203 CHICON ST
AUSTIN, TX 78702
(30.2741502510382, -97.7196388507829)",11174455,Routine Inspection
My Fit Foods,78749,06/25/2015,97,"4301 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.2213885490963, -97.8396535670048)",10399646,Routine Inspection
St. Louis Catholic Church,78757,06/25/2015,91,"7601 BURNET RD
AUSTIN, TX 78757
(30.3527192514543, -97.7319925275584)",2801864,Routine Inspection
Stay Gold,78702,06/25/2015,97,"1910 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.2569929947025, -97.7237507039439)",11281444,Routine Inspection
Taqueria Arandinas,78741,06/25/2015,76,"2100 E RIVERSIDE DR
AUSTIN, TX 78741
(30.2403150036725, -97.7264539758618)",2801526,Routine Inspection
Fresh Plus,78705,06/25/2015,85,"2401 SAN GABRIEL ST
AUSTIN, TX 78705
(30.2884264666385, -97.7474637570493)",11276398,Routine Inspection
Garage,78701,06/25/2015,90,"503 COLORADO ST
AUSTIN, TX 78701
(30.2678778522966, -97.7441858946274)",11099474,Routine Inspection
Texas Steak Out,78758,06/25/2015,92,"9003 WATERFORD CENTRE BLVD
AUSTIN, TX 78758
(30.375629467543, -97.7302356232335)",10738438,Routine Inspection
Square Rut,78745,06/25/2015,100,"6000 S CONGRESS AVE
AUSTIN, TX 78745
(30.2008176303153, -97.7769676595659)",10705051,Routine Inspection
Highland,78701,06/25/2015,89,"404 COLORADO ST
AUSTIN, TX 78701
(30.2670250031714, -97.7449595887173)",10973434,Routine Inspection
Mongo Fire Grill,78759,06/25/2015,84,"12636 RESEARCH BLVD
AUSTIN, TX 78759
(30.4307126747129, -97.7636348535479)",10731008,Routine Inspection
Smashburger,78748,06/25/2015,97,"9900 S IH
AUSTIN, TX 78748
(30.1572180091149, -97.7932160719068)",10885716,Routine Inspection
Peche,78701,06/25/2015,89,"208 W 4TH ST
AUSTIN, TX 78701
(30.266990792835, -97.7451719967121)",10768306,Routine Inspection
"Wheel, The",78722,06/25/2015,90,"1902 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78722
(30.2801108305229, -97.7208195371864)",11282525,Routine Inspection
"Strange Brew, Austin Coffee",78745,06/25/2015,93,"5700 MANCHACA RD
AUSTIN, TX 78745
(30.2151608057294, -97.7995199669531)",10810050,Routine Inspection
Lazy Lizard,78702,06/25/2015,90,"1504 E 6TH ST
AUSTIN, TX 78702
(30.2635157712158, -97.7269249615425)",10000508,Routine Inspection
"Silo on 7th, The",78702,06/25/2015,81,"1300 E 7TH ST
AUSTIN, TX 78702
(30.2651835477761, -97.7286004072768)",11081788,Routine Inspection
Weather Up,78702,06/25/2015,82,"1808 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.2575027667641, -97.7248616275941)",10716828,Routine Inspection
Zed's Restaurant,78753,06/25/2015,82,"501 CANYON RIDGE DR
AUSTIN, TX 78753
(30.4027647452949, -97.6722312907262)",10358994,Routine Inspection
Legendary White Swan,78702,06/25/2015,97,"1906 E 12TH ST
AUSTIN, TX 78702
(30.2739911677483, -97.7195996114624)",10534272,Routine Inspection
Ten Oak,78701,06/25/2015,88,"409 COLORADO ST
AUSTIN, TX 78701
(30.2670172625483, -97.7443039182318)",2801849,Routine Inspection
HEB #374,78745,06/25/2015,97,"600 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.198061069869, -97.7862741382378)",2803482,Routine Inspection
La Mexicana Bakery,78704,06/25/2015,77,"1924 S 1ST ST
AUSTIN, TX 78704
(30.2458256282465, -97.7571140349552)",2800514,Routine Inspection
Maggiano's Little Italy,78758,06/25/2015,91,"10910 DOMAIN DR
AUSTIN, TX 78758
(30.3955744062778, -97.7269545986283)",10369329,Routine Inspection
Bess Bistro,78701,06/25/2015,73,"500 W 6TH ST
AUSTIN, TX 78701
(30.2695603274224, -97.747523110814)",10003683,Routine Inspection
Walton's Fancy & Staple,78701,06/25/2015,97,"609 W 6TH ST
AUSTIN, TX 78701
(30.2695381218035, -97.7490129375443)",10196030,Routine Inspection
The Liberty,78702,06/25/2015,90,"1618 1 2 E 6TH ST
AUSTIN, TX 78702
(30.262713322253, -97.7252432775376)",10274853,Routine Inspection
Rio,78701,06/25/2015,80,"601 RIO GRANDE ST
AUSTIN, TX 78701
(30.2700955345742, -97.7492718412861)",10792842,Routine Inspection
Los Jaliscienses #2,78723,06/25/2015,80,"6201 E US 290 HWY
AUSTIN, TX 78723
(30.321442999791, -97.7027836884407)",10869258,Routine Inspection
Radio Coffee & Beer,78704,06/25/2015,89,"4204 MANCHACA RD
AUSTIN, TX 78704
(30.231538206135, -97.7878105831857)",11157451,Routine Inspection
Gibson Bar,78704,06/25/2015,96,"1109 S LAMAR BLVD
AUSTIN, TX 78704
(30.2549519178141, -97.7618032472249)",10367660,Routine Inspection
Angie's Mexican Restaurant,78702,06/25/2015,78,"1307 E 7TH ST
AUSTIN, TX 78702
(30.2645454569066, -97.7286001958444)",10047654,Routine Inspection
Chipotle Mexican Grill #1008,78748,06/25/2015,100,"9600 S IH
AUSTIN, TX 78748
(30.1605736545806, -97.7924459808281)",10178947,Routine Inspection
Bufalina,78702,06/25/2015,83,"1519 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.258417576604, -97.7289185430733)",10959574,Routine Inspection
One-2-One Bar,78704,06/25/2015,90,"1509 S LAMAR BLVD
AUSTIN, TX 78704
(30.2517771391099, -97.7640999941054)",10825061,Routine Inspection
"Children's Courtyard, The",78759,06/25/2015,100,"12336 N MOPAC EXPY
AUSTIN, TX 78759
(30.4173796071895, -97.7063590641526)",2801724,Routine Inspection
Thistle Cafe,78701,06/25/2015,97,"221 W 6TH ST
AUSTIN, TX 78701
(30.2683265602309, -97.7447748232285)",10513979,Routine Inspection
The Volstead Lounge,78702,06/25/2015,90,"1500 E 6TH ST
AUSTIN, TX 78702
(30.26342842482, -97.7272851132295)",10546409,Routine Inspection
Tapioca House,78705,06/25/2015,90,"1906 GUADALUPE ST
AUSTIN, TX 78705
(30.282538056817, -97.7424290910678)",2802251,Routine Inspection
Ichiban at Austin,78757,06/25/2015,73,"7310 BURNET RD
AUSTIN, TX 78757
(30.3492245844069, -97.7359266718165)",10215188,Routine Inspection
Whataburger,78705,06/25/2015,90,"2800 GUADALUPE ST
AUSTIN, TX 78705
(30.2934996298746, -97.7422283319948)",10434244,Routine Inspection
Mi Rancho Meat Market,78745,06/25/2015,76,"611 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.2257386068097, -97.7708663107395)",11258727,1st Follow Up to Routine of 50 - 69
Burger King,78717,06/24/2015,95,"10001 W PARMER LN
AUSTIN, TX 78717
(30.4882847518778, -97.7721504533143)",10140443,Routine Inspection
Fairfield Inn Austin North,78753,06/24/2015,95,"12536 N IH
AUSTIN, TX 78753
(30.4072293697464, -97.6764569730923)",10308316,Routine Inspection
Taco Shack,78705,06/24/2015,97,"2825 GUADALUPE ST
AUSTIN, TX 78705
(30.2951535883906, -97.7425499956172)",2802024,Routine Inspection
Shipley Donuts,78717,06/24/2015,93,"10019 W PARMER LN
AUSTIN, TX 78717
(30.4887698493209, -97.7723525961133)",10233685,Routine Inspection
Yanagi,78749,06/24/2015,97,"4404 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.2236946492329, -97.8409712655142)",10280397,Routine Inspection
"Park at the Domain, The",78758,06/24/2015,73,"11601 DOMAIN DR
AUSTIN, TX 78758
(30.4027433123555, -97.7238117303795)",10583690,Routine Inspection
Nick's Food Mart,78728,06/24/2015,97,"13703 THERMAL DR
AUSTIN, TX 78728
(30.4272211622491, -97.6760115004926)",10704814,Routine Inspection
Food for Fitness Cafe,78703,06/24/2015,97,"1112 N LAMAR BLVD
AUSTIN, TX 78703
(30.2766900315074, -97.751929283107)",11165567,Routine Inspection
Russian Bistro NaZdorovye,78701,06/24/2015,97,"307 E 5TH ST
AUSTIN, TX 78701
(30.2660413524988, -97.7402467248507)",10770529,Routine Inspection
Edible Arrangements,78703,06/24/2015,93,"507 PRESSLER ST
AUSTIN, TX 78703
(30.2731643644849, -97.7601472821937)",10637849,Routine Inspection
Mona Cafe (Fiesta),78722,06/24/2015,92,"3909 N IH
AUSTIN, TX 78722
(30.2962267195061, -97.7176571646697)",2802272,Routine Inspection
Tokyo Gardens,78726,06/24/2015,97,"11521 N FM 620 RD
AUSTIN, TX 78726
(30.4546608628512, -97.8258958233743)",2802916,Routine Inspection
Just Add Chef - The Jalopy,78722,06/24/2015,100,"3505 N IH
AUSTIN, TX 78722
(30.2930802648481, -97.7202167617843)",10857996,Routine Inspection
Auguste Escoffier School of Culinary Arts,78752,06/24/2015,100,"6020 DILLARD CIR
AUSTIN, TX 78752
(30.3265989297496, -97.717817793477)",10539808,Routine Inspection
Daawat,78753,06/24/2015,75,"500 CANYON RIDGE DR
AUSTIN, TX 78753
(30.4052725280433, -97.6718973772957)",10905057,Routine Inspection
Barton Hills Market #1,78704,06/24/2015,87,"1220 BARTON HILLS DR
AUSTIN, TX 78704
(30.2618686185878, -97.775110921398)",10400697,Routine Inspection
Athenian Bar & Grill,78701,06/24/2015,87,"600 CONGRESS AVE
AUSTIN, TX 78701
(30.2685032402951, -97.7431186382763)",10117370,Routine Inspection
Child Inc-- Forbes,78754,06/24/2015,100,"2217 FORBES DR
AUSTIN, TX 78754
(30.3339091200457, -97.6732580174612)",2801851,Routine Inspection
Star Stop 74,78705,06/24/2015,91,"2819 GUADALUPE ST
AUSTIN, TX 78705
(30.2949047180537, -97.7423474899097)",11027963,Routine Inspection
Waterloo Ice House,78748,06/24/2015,84,"9600 S IH
AUSTIN, TX 78748
(30.1605736545806, -97.7924459808281)",10035159,Routine Inspection
Ann's Kitchen Cakes,78759,06/24/2015,90,"8650 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.4332764278328, -97.7717358020204)",10739553,Routine Inspection
Berryaustin 2 Go,78701,06/24/2015,89,"200 CONGRESS AVE
AUSTIN, TX 78701
(30.2646011349829, -97.7444232076484)",10550264,Routine Inspection
Q-Mart,78717,06/24/2015,94,"10001 W PARMER LN
AUSTIN, TX 78717
(30.4882847518778, -97.7721504533143)",10147278,Routine Inspection
LW - Lakeway Market,78734,06/23/2015,79,"2114 LAKEWAY BLVD
LAKEWAY, TX 78734
(30.3579936547924, -97.9782756734198)",10647346,Routine Inspection
Mr. Gatti's #164,78745,06/23/2015,94,"6800 WEST GATE BLVD
AUSTIN, TX 78745
(30.209169707887, -97.8159068075958)",2801583,Routine Inspection
Comfort Suites Hotel,78744,06/23/2015,97,"7501 E BEN WHITE BLVD
AUSTIN, TX 78744
(30.2163914132643, -97.6933603289302)",10126693,Routine Inspection
Smart Fast Nutrition,78745,06/23/2015,100,"6800 WEST GATE BLVD
AUSTIN, TX 78745
(30.209169707887, -97.8159068075958)",10374520,Routine Inspection
Outback Steakhouse,78759,06/23/2015,92,"11600 RESEARCH BLVD
AUSTIN, TX 78759
(30.4155273568489, -97.7471355213334)",2800918,Routine Inspection
La Madeleine,78759,06/23/2015,79,"9828 GREAT HILLS TRL
AUSTIN, TX 78759
(30.3944798337082, -97.7482751276841)",2800825,Routine Inspection
Conans Pizza - Central,78705,06/23/2015,91,"603 W 29TH ST
AUSTIN, TX 78705
(30.2954802435936, -97.7433110688753)",2800184,Routine Inspection
Seton Administration Building,78723,06/23/2015,100,"1345 PHILOMENA ST
AUSTIN, TX 78723
(30.3021329234361, -97.7082274621607)",10322560,Routine Inspection
Black Dog Coffee Bar,78703,06/23/2015,94,"111 SANDRA MURAIDA WAY
AUSTIN, TX 78703
(30.2674487139092, -97.7547590494245)",11172761,Routine Inspection
Crestview United Methodist Church,78757,06/23/2015,100,"1300 MORROW ST
AUSTIN, TX 78757
(30.3473390173959, -97.7228984923501)",10171865,Routine Inspection
Wal-Mart Supercenter #2133 -Meat,78749,06/23/2015,100,"5017 W US 290 HWY
AUSTIN, TX 78749
(30.2322917643236, -97.8233530180644)",10193646,Routine Inspection
Night Hawk Frisco Shop,78757,06/23/2015,86,"6801 BURNET RD
AUSTIN, TX 78757
(30.3438166097189, -97.7379784977545)",10169809,Routine Inspection
Subway,78757,06/23/2015,92,"7020 EASY WIND DR
AUSTIN, TX 78757
(30.3385173305091, -97.7187610409771)",10988259,Routine Inspection
Austin Java - Barton Springs,78704,06/23/2015,81,"1608 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.2624286729425, -97.7617340055192)",11245639,Routine Inspection
Little Mexico,78704,06/23/2015,74,"2304 S 1ST ST
AUSTIN, TX 78704
(30.243014823738, -97.7588940383225)",2800870,Routine Inspection
Tokyo Gardens,78753,06/23/2015,96,"500 CANYON RIDGE DR
AUSTIN, TX 78753
(30.4052725280433, -97.6718973772957)",2802959,Routine Inspection
Wal-Mart Supercenter #2133 -Deli,78749,06/23/2015,92,"5017 W US 290 HWY
AUSTIN, TX 78749
(30.2322917643236, -97.8233530180644)",10193630,Routine Inspection
Wal-Mart Supercenter #2133 -Bakery,78749,06/23/2015,100,"5017 W US 290 HWY
AUSTIN, TX 78749
(30.2322917643236, -97.8233530180644)",10193642,Routine Inspection
R.C. Fowlers Bar & Grill,78750,06/23/2015,83,"12233 N FM 620 RD
AUSTIN, TX 78750
(30.4622051643453, -97.8147751717854)",2802638,Routine Inspection
Tokyo Gardens Catering,78751,06/23/2015,100,"1000 E 41ST ST
AUSTIN, TX 78751
(30.3004726549805, -97.7196502668685)",2802167,Routine Inspection
IBM Cafeteria-Bldg 45,78758,06/23/2015,94,"11400 BURNET RD
AUSTIN, TX 78758
(30.3939777560755, -97.7241723908563)",2801115,Routine Inspection
HEB Bakery/Deli,78751,06/23/2015,100,"1000 E 41ST ST
AUSTIN, TX 78751
(30.3004726549805, -97.7196502668685)",2801079,Routine Inspection
7-Eleven Convenience Store # 36015,78705,06/23/2015,94,"2408 SAN GABRIEL ST
AUSTIN, TX 78705
(30.2887500763553, -97.7479977661956)",10991684,Routine Inspection
Seton Healthcare- Dell Children's Center,78723,06/23/2015,100,"4900 MUELLER BLVD
AUSTIN, TX 78723
(30.30344533068, -97.7061709305029)",10029465,Routine Inspection
Lamar Food Store,78704,06/23/2015,94,"1222 S LAMAR BLVD
AUSTIN, TX 78704
(30.2542089363378, -97.7631179787182)",10761359,Routine Inspection
Wal-Mart Supercenter #2133,78749,06/23/2015,96,"5017 W US 290 HWY
AUSTIN, TX 78749
(30.2322917643236, -97.8233530180644)",10094665,Routine Inspection
Cyclo Vietnamese & Chinese Cuisine,78753,06/23/2015,76,"13000 N IH
AUSTIN, TX 78753
(30.4155528896559, -97.6747738076602)",11247953,Routine Inspection
Udon Daito,78705,06/23/2015,97,"2716 1 2 GUADALUPE ST
AUSTIN, TX 78705
(30.2928881847971, -97.7417772652341)",11040770,Routine Inspection
Amaya's Taco Village,78748,06/23/2015,79,"9900 S IH
AUSTIN, TX 78748
(30.1572180091149, -97.7932160719068)",11116227,Routine Inspection
Strange Brew,78745,06/23/2015,82,"5326 MANCHACA RD
AUSTIN, TX 78745
(30.2178069613005, -97.7965000642517)",10406269,Routine Inspection
La Quinta Inn #0186,78744,06/23/2015,94,"7625 E BEN WHITE BLVD
AUSTIN, TX 78744
(30.2173070999804, -97.6908898265802)",10082646,Routine Inspection
Dominican Joe,78704,06/23/2015,80,"515 S CONGRESS AVE
AUSTIN, TX 78704
(30.2560953257718, -97.7470108957508)",2802995,Routine Inspection
Sushi Niichi,78705,06/23/2015,93,"705 W 24TH ST
AUSTIN, TX 78705
(30.2877444876706, -97.7455615033402)",10015230,Routine Inspection
HEB  Retail,78751,06/23/2015,100,"1000 E 41ST ST
AUSTIN, TX 78751
(30.3004726549805, -97.7196502668685)",2803609,Routine Inspection
Dragon Mart,78705,06/23/2015,100,"3201 N LAMAR BLVD
AUSTIN, TX 78705
(30.301524287395, -97.7450446265573)",11019502,Routine Inspection
Twice the Ice,78702,06/23/2015,100,"1144 AIRPORT BLVD
AUSTIN, TX 78702
(30.272211588619, -97.6980653554362)",10748848,Routine Inspection
Wal-Mart Supercenter #2133 -Produce,78749,06/23/2015,100,"5017 W US 290 HWY
AUSTIN, TX 78749
(30.2322917643236, -97.8233530180644)",10193644,Routine Inspection
